sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,131,108,82.44,11,93,105,150
2,141,101,71.63,9,89,150,200
3,134,90,67.16,9,81,105,200
4,95,71,74.74,12,101,150,400
5,78,39,50.00,6,109,121,150
6,189,96,50.79,7,85,150,250
