sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,2442,134,5.49,5,5,7,11
2,2442,108,4.42,5,5,6,10
3,2424,102,4.21,5,5,6,10
4,2433,105,4.32,5,5,6,10
5,2410,119,4.94,5,5,6,11
6,2437,114,4.68,5,5,6,10
