sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,514,0,0.00,9,22,34,61
2,424,0,0.00,8,32,48,65
3,504,0,0.00,8,18,24,38
4,518,0,0.00,8,23,31,69
5,414,0,0.00,5,36,44,77
6,472,0,0.00,8,22,38,65
