sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,1788,4,0.22,50,90,95,99
2,2004,0,0.00,50,90,95,99
3,1844,0,0.00,50,90,95,99
4,1586,0,0.00,50,90,95,99
