sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,271,58,21.40,8,38,46,77
2,218,52,23.85,7,48,77,105
3,164,38,23.17,9,46,69,117
4,120,49,40.83,14,89,113,129
5,122,56,45.90,15,93,97,550
6,178,29,16.29,6,40,73,150
