sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,2348,1,0.04,8,32,46,85
2,2188,0,0.00,8,38,61,109
3,2060,0,0.00,8,42,61,113
4,1896,0,0.00,8,48,69,150
5,1918,0,0.00,8,48,73,150
6,1880,0,0.00,7,44,65,129
