sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,426,0,0.00,8,30,42,81
2,492,0,0.00,8,26,42,73
3,540,0,0.00,8,26,36,48
4,506,0,0.00,8,25,34,61
5,424,0,0.00,9,42,57,69
6,504,0,0.00,8,26,36,53
