sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,1356,1,0.07,7,18,27,65
2,1226,0,0.00,7,23,32,65
3,1318,0,0.00,9,21,32,85
4,1262,0,0.00,9,26,36,93
5,1316,0,0.00,8,23,36,89
6,1304,0,0.00,7,19,30,53
