sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,430,0,0.00,6,30,36,57
2,470,0,0.00,7,25,34,53
3,436,0,0.00,7,23,30,40
4,448,0,0.00,7,26,36,61
5,456,0,0.00,7,22,31,44
6,434,0,0.00,6,23,32,46
