sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,1474,1,0.07,8,18,26,48
2,1502,0,0.00,8,21,28,57
3,1436,0,0.00,8,20,25,65
4,1188,0,0.00,8,30,44,109
5,1320,0,0.00,6,23,36,61
6,1346,0,0.00,6,22,32,89
