sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,372,1,0.27,9,44,53,200
2,402,0,0.00,10,46,61,89
3,514,0,0.00,7,27,46,65
4,484,0,0.00,5,31,40,53
5,454,0,0.00,5,18,23,46
6,442,0,0.00,7,34,48,81
