sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,513,243,47.37,6,65,93,150
2,298,196,65.77,10,89,113,150
3,326,203,62.27,9,61,89,300
4,328,210,64.02,8,44,73,250
5,289,191,66.09,9,61,97,200
6,346,288,83.24,10,57,105,150
