sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,139,40,28.78,9,89,105,150
2,110,19,17.27,7,40,73,200
3,79,0,0.00,5,5,7,11
4,67,0,0.00,5,7,7,10
5,108,0,0.00,5,5,7,10
6,218,5,2.29,5,9,12,27
