sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,498,1,0.20,9,21,32,48
2,520,0,0.00,8,30,48,69
3,546,0,0.00,8,21,34,42
4,530,0,0.00,8,20,25,44
5,510,0,0.00,8,25,38,61
6,394,0,0.00,14,48,53,73
