sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,438,1,0.23,6,25,34,48
2,414,0,0.00,5,22,40,69
3,414,0,0.00,10,38,53,73
4,472,0,0.00,6,25,29,77
5,524,0,0.00,7,23,32,42
6,470,0,0.00,7,19,23,42
