sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,1780,1,0.06,8,19,24,38
2,1770,0,0.00,8,21,25,32
3,1790,0,0.00,8,19,25,40
4,1788,0,0.00,9,18,22,32
5,1712,0,0.00,10,17,24,48
6,1674,0,0.00,9,19,28,53
