sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,3294,1,0.03,8,17,21,32
2,3462,0,0.00,8,17,22,34
3,3358,0,0.00,8,19,25,42
4,3242,0,0.00,9,20,27,46
5,3348,0,0.00,9,18,25,42
6,3310,0,0.00,10,17,24,42
