sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,181,103,56.91,8,36,48,101
2,179,71,39.66,5,42,81,150
3,138,71,51.45,7,57,125,150
4,139,88,63.31,8,61,73,133
5,164,106,64.63,10,57,89,105
6,134,85,63.43,9,81,121,200
