sample,total_frames,janky_frames,janky_pct,p50_ms,p90_ms,p95_ms,p99_ms
1,154,6,3.90,14,77,97,1100
2,360,7,1.94,13,61,77,150
3,422,0,0.00,6,48,69,97
4,462,1,0.22,5,14,22,42
5,470,0,0.00,5,16,28,42
6,422,0,0.00,5,20,36,53
